,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe
151,庆南居委会,2,1,1,合庆镇,浦东新区,121.713658668213,31.2352720498652,0.8333333333333333,POINT (121.713658668213 31.2352720498652),-0.9401915124288907,-0.814136180259632,-0.5227660583590759,-0.8509374217465573,happy
152,庆源居委会,3,1,1,嘉兴路街道,虹口区,121.486252422811,31.2577110828002,0.9166666666666665,POINT (121.486252422811 31.2577110828002),1.6089268169017716,3.422007098659981,0.8810359662730166,-0.0074737289237464645,very happy
153,庆阳居委会,3,1,1,嘉兴路街道,虹口区,121.487594630387,31.2640732331931,0.9166666666666665,POINT (121.487594630387 31.2640732331931),1.5657799257485783,2.2116804475400915,0.5467973889796612,-0.0074737289237464645,very happy
154,康城第三居委会,3,1,1,莘庄镇,闵行区,121.348509170861,31.1060323492135,0.9166666666666665,POINT (121.348509170861 31.1060323492135),-0.8935928699834419,-0.9351688453716208,-0.9238523511111022,-0.42920557533515186,very happy
155,延中居委会,2,1,1,瑞金二路街道,黄浦区,121.454103073398,31.2239874026965,0.8333333333333333,POINT (121.454103073398 31.2239874026965),1.346593718690356,2.2116804475400915,1.7500562672357405,0.8359899638990643,happy
156,延中居委会,2,1,1,南京西路街道,静安区,121.448760582434,31.2239444079081,0.8333333333333333,POINT (121.448760582434 31.2239444079081),1.3483195943364839,1.8485824522041245,2.6190765681984645,1.679453656721875,happy
157,建设新村居委会,3,1,1,欧阳路街道,虹口区,121.481397817655,31.2731845310413,0.9166666666666665,POINT (121.481397817655 31.2731845310413),2.1922727852929453,1.7275497870921357,0.41310195806231914,0.8359899638990643,very happy
158,建龙居委会,3,1,1,漕泾镇,金山区,121.41635493703,30.7961266484261,0.9166666666666665,POINT (121.41635493703 30.7961266484261),-0.9401915124288907,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very happy
159,徐安第一社区居委会,3,1,1,徐泾镇,青浦区,121.27629068057,31.1630057561108,0.9166666666666665,POINT (121.27629068057 31.1630057561108),-0.8849634917528032,-0.9351688453716208,-0.723309204735089,-0.0074737289237464645,very happy
160,德州五村居委会,2,1,1,上钢新村街道,浦东新区,121.490962255104,31.1691337014592,0.8333333333333333,POINT (121.490962255104 31.1691337014592),-0.5535953676962784,-0.4510381849236651,-0.054832050148378345,-0.8509374217465573,happy
161,志丹居委会,2,1,1,甘泉路街道,普陀区,121.424239037101,31.2626925031565,0.8333333333333333,POINT (121.424239037101 31.2626925031565),0.8253792735597806,0.3961904708602574,0.14571109622763484,-0.0074737289237464645,happy
162,志成居委会,3,1,1,淮海中路街道,黄浦区,121.477177021402,31.2195108806226,0.9166666666666665,POINT (121.477177021402 31.2195108806226),1.2188789208769037,2.2116804475400915,2.35168570636378,0.4142581174876589,very happy
163,政通路第一居委会,2,1,1,五角场街道,杨浦区,121.51537758151,31.3028752751738,0.8333333333333333,POINT (121.51537758151 31.3028752751738),3.2139911678005637,0.15412514063627955,1.348969974483714,1.2577218103104697,happy
164,文化佳园居委会,4,1,1,五角场镇,杨浦区,121.520027934441,31.2908564574595,1.0,POINT (121.520027934441 31.2908564574595),1.4277098740583596,0.15412514063627955,-0.32222291198306263,0.4142581174876589,very happy
165,文定居委会,3,1,1,徐家汇街道,徐汇区,121.429241128375,31.1901074887696,0.9166666666666665,POINT (121.429241128375 31.1901074887696),0.8495415326055689,2.6958111079880474,4.490812601041254,2.9446491959560914,very happy
166,文苑第一居委会,2,0,1,凉城新村街道,虹口区,121.461238711797,31.3005937940683,0.5,POINT (121.461238711797 31.3005937940683),0.26964731550665044,-0.814136180259632,-0.25537519652439156,-0.42920557533515186,very unhappy
167,文苑第二居委会,3,1,1,凉城新村街道,虹口区,121.461281238938,31.2980708306043,0.9166666666666665,POINT (121.461281238938 31.2980708306043),0.23858155387635124,-0.693103515147643,-0.32222291198306263,-0.8509374217465573,very happy
168,新东苑居委会,2,1,0,新桥镇,松江区,121.323810807123,31.0675672445327,0.5,POINT (121.323810807123 31.0675672445327),-0.9401915124288907,-0.9351688453716208,-0.8570046356524311,-0.8509374217465573,very unhappy
169,新乐居委会,2,1,0,湖南路街道,徐汇区,121.449916710387,31.2191650984905,0.5,POINT (121.449916710387 31.2191650984905),1.3310608378752065,0.3961904708602574,1.348969974483714,2.5229173495446857,very unhappy
