,community,clean,smell,noise,town,district,longitude,latitude,score,coordinates,mobike_count,service_count,leisure_count,culture_count,classe,real_estate
140,寿光路二居委会,2,1,1,沪东新村街道,浦东新区,121.580181118363,31.2773638424674,0.8333333333333333,POINT (121.580181118363 31.2773638424674),-1.1586157004474715,-0.6596430702013605,-0.6706561871609847,-0.6285852893307142,happy,-0.026696784841086597
141,小寅居委会,2,1,1,九亭镇,松江区,121.286581648824,31.1436060081108,0.8333333333333333,POINT (121.286581648824 31.1436060081108),-1.3195953310508075,-1.2188414502504985,-1.0299362874257978,-1.0196066547594451,happy,-1.0278641016024777
142,屹立家园居委会,3,1,1,庙行镇,宝山区,121.427833296369,31.3285692477726,0.9166666666666665,POINT (121.427833296369 31.3285692477726),-0.7449153594345972,-1.107001774240671,-0.37125610360697364,-1.0196066547594451,very happy,-0.5534220440143939
143,州桥社区居委会,3,0,0,嘉定镇街道,嘉定区,121.246104141992,31.3849543073954,0.25,POINT (121.246104141992 31.3849543073954),-1.3161334035109509,0.12323466186743257,0.6467041804766639,0.15345744152674717,very unhappy,-3.452294553054102
144,左家宅居委会,3,1,1,新华路街道,长宁区,121.419795496764,31.2016672637332,0.9166666666666665,POINT (121.419795496764 31.2016672637332),0.3282821779209764,0.12323466186743257,-0.07185602005296265,1.71754290324167,very happy,1.249305609858916
145,市一(1)居委会,2,1,0,殷行街道,杨浦区,121.530083990783,31.3181246537298,0.5,POINT (121.530083990783 31.3181246537298),2.8347177167772193,-0.10044469015222258,-0.6107761704501824,0.15345744152674717,very unhappy,-0.09782759522190869
146,市光路第三居委会,3,1,1,五角场镇,杨浦区,121.513155471847,31.3124795570859,0.9166666666666665,POINT (121.513155471847 31.3124795570859),1.7805607808908577,-0.547803394191533,0.28742408021185056,-0.23756392390198353,very happy,-0.12164855155346109
147,市光路第三居委会,2,1,1,五角场镇,杨浦区,121.513155471847,31.3124795570859,0.8333333333333333,POINT (121.513155471847 31.3124795570859),1.7805607808908577,-0.547803394191533,0.28742408021185056,-0.23756392390198353,happy,-0.12164855155346109
148,平塘居委会,3,0,1,新泾镇,长宁区,121.359549556766,31.2142011735453,0.5833333333333333,POINT (121.359549556766 31.2142011735453),-0.09753490948139638,0.45875368989691534,0.3473040969226528,-0.23756392390198353,very unhappy,1.115001525190924
149,平望街居委会,2,1,1,南京东路街道,黄浦区,121.475349197007,31.2331286110965,0.8333333333333333,POINT (121.475349197007 31.2331286110965),0.9912413018035324,3.4784249421622606,5.4969855340516425,1.71754290324167,happy,0.7904055320644003
150,幸福一村居委会,2,1,1,彭浦镇,静安区,121.438880879549,31.306073790473,0.8333333333333333,POINT (121.438880879549 31.306073790473),0.20711471402599232,-0.4359637181817054,-0.07185602005296265,-0.23756392390198353,happy,-0.3794267534709413
152,庆源居委会,3,1,1,嘉兴路街道,虹口区,121.486252422811,31.2577110828002,0.9166666666666665,POINT (121.486252422811 31.2577110828002),1.2301143020536438,2.919226562113123,0.5868241637658617,-0.23756392390198353,very happy,0.4215273276557141
153,庆阳居委会,3,1,1,嘉兴路街道,虹口区,121.487594630387,31.2640732331931,0.9166666666666665,POINT (121.487594630387 31.2640732331931),1.1868402078054354,1.8008298020148465,0.28742408021185056,-0.23756392390198353,very happy,0.4169285346512493
155,延中居委会,2,1,1,瑞金二路街道,黄浦区,121.454103073398,31.2239874026965,0.8333333333333333,POINT (121.454103073398 31.2239874026965),0.9670078090245354,1.8008298020148465,1.36526438100629,0.5444788069554779,happy,1.054198493632313
156,延中居委会,2,1,1,南京西路街道,静安区,121.448760582434,31.2239444079081,0.8333333333333333,POINT (121.448760582434 31.2239444079081),0.9687387727944639,1.4653107739853637,2.1437045982467193,1.3265215378129394,happy,1.0167057645792992
157,建设新村居委会,3,1,1,欧阳路街道,虹口区,121.481397817655,31.2731845310413,0.9166666666666665,POINT (121.481397817655 31.2731845310413),1.8151800562894242,1.3534710979755362,0.16766404679024619,0.5444788069554779,very happy,0.2858968066772197
159,徐安第一社区居委会,3,1,1,徐泾镇,青浦区,121.27629068057,31.1630057561108,0.9166666666666665,POINT (121.27629068057 31.1630057561108),-1.271128345492814,-1.107001774240671,-0.8502962372933912,-0.23756392390198353,very happy,-1.733044301271131
161,志丹居委会,2,1,1,甘泉路街道,普陀区,121.424239037101,31.2626925031565,0.8333333333333333,POINT (121.424239037101 31.2626925031565),0.4442567505061754,0.12323466186743257,-0.07185602005296265,-0.23756392390198353,happy,0.20310427996641828
162,志成居委会,3,1,1,淮海中路街道,黄浦区,121.477177021402,31.2195108806226,0.9166666666666665,POINT (121.477177021402 31.2195108806226),0.8389164900498379,1.8008298020148465,1.9041845314035102,0.15345744152674717,very happy,0.8956065967596618
163,政通路第一居委会,2,1,1,五角场街道,杨浦区,121.51537758151,31.3028752751738,0.8333333333333333,POINT (121.51537758151 31.3028752751738),2.8399106080870045,-0.10044469015222258,1.005984280741477,0.9355001723842087,happy,0.010323367641260075
164,文化佳园居委会,4,1,1,五角场镇,杨浦区,121.520027934441,31.2908564574595,1.0,POINT (121.520027934441 31.2908564574595),1.0483631062111678,-0.10044469015222258,-0.4910161370285781,0.15345744152674717,very happy,0.03856672167619585
165,文定居委会,3,1,1,徐家汇街道,徐汇区,121.429241128375,31.1901074887696,0.9166666666666665,POINT (121.429241128375 31.1901074887696),0.4684902432851723,2.248188506054157,3.82034506614918,2.4995856340991316,very happy,1.2439192292652388
166,文苑第一居委会,2,0,1,凉城新村街道,虹口区,121.461238711797,31.3005937940683,0.5,POINT (121.461238711797 31.3005937940683),-0.11311358341075146,-0.9951620982308435,-0.4311361203177759,-0.6285852893307142,very unhappy,-0.06714574194981433
167,文苑第二居委会,3,1,1,凉城新村街道,虹口区,121.461281238938,31.2980708306043,0.9166666666666665,POINT (121.461281238938 31.2980708306043),-0.14427093126946167,-0.8833224222210158,-0.4910161370285781,-1.0196066547594451,very happy,-0.05675855757211143
169,新乐居委会,2,1,0,湖南路街道,徐汇区,121.449916710387,31.2191650984905,0.5,POINT (121.449916710387 31.2191650984905),0.9514291350951803,0.12323466186743257,1.005984280741477,2.1085642686704005,very unhappy,1.131062958371214
